"ThreadID","AuthorID","Date","Time","WC","Analytic","Clout","Authentic","Tone","ppron","i","we","you","shehe","they","posemo","negemo","anx","anger","sad","focuspast","focuspresent","focusfuture"
144564,41084,"2004-08-09","04:46",134,55.23,69.94,63.91,68.05,7.46,2.99,2.24,1.49,0,0.75,4.48,2.24,0,1.49,0,0.75,12.69,0
404119,128515,"2007-07-21","22:27",12,1,79.76,74.76,25.77,33.33,8.33,0,0,0,25,0,0,0,0,0,0,25,0
395992,93243,"2007-06-19","01:02",28,13.85,76.25,1.06,99,7.14,3.57,0,3.57,0,0,7.14,0,0,0,0,3.57,17.86,0
405421,99958,"2007-07-24","01:40",16,84.57,89.42,35.37,1,6.25,0,0,6.25,0,0,0,6.25,0,6.25,0,6.25,18.75,0
662470,185647,"2009-12-05","16:05",37,32.06,79.13,21.26,75.85,18.92,8.11,0,0,5.41,5.41,2.7,0,0,0,0,0,8.11,0
420058,53655,"2007-09-13","22:59",17,26.21,3.89,99,1,11.76,5.88,0,0,0,5.88,0,5.88,0,0,0,0,11.76,0
13933,1740,"2002-03-09","02:01",61,22.35,37.15,72.51,25.77,11.48,6.56,1.64,0,0,3.28,0,0,0,0,0,1.64,14.75,1.64
245087,80190,"2005-11-09","15:06",94,82.45,66.48,44.79,25.77,4.26,2.13,1.06,0,0,1.06,1.06,1.06,0,0,0,1.06,9.57,0
442550,47686,"2007-12-06","05:06",80,61.95,54.96,59.88,96.76,7.5,5,0,1.25,0,1.25,5,0,0,0,0,6.25,12.5,0
352716,26979,"2007-01-05","21:33",10,8.19,84.14,1,25.77,0,0,0,0,0,0,0,0,0,0,0,0,20,0
463617,104430,"2008-02-29","08:02",249,98.57,78.92,15.3,83.06,3.61,0.8,1.61,0,0.8,0.4,3.21,0,0,0,0,2.41,6.43,1.2
363541,-1,"2007-02-15","11:30",26,53.63,87.57,38.39,99,11.54,3.85,0,7.69,0,0,11.54,0,0,0,0,11.54,7.69,0
258941,44297,"2006-01-01","13:47",59,94.34,91.23,10.76,6.73,8.47,1.69,1.69,5.08,0,0,3.39,5.08,1.69,3.39,1.69,5.08,10.17,3.39
765163,54960,"2010-12-17","21:06",139,26.01,58.53,13.52,66.61,7.91,1.44,0.72,2.88,0,2.88,2.88,0.72,0,0.72,0,0.72,17.27,1.44
263152,79878,"2006-01-18","07:34",114,48.42,73.03,9.58,1,10.53,4.39,0,2.63,0,3.51,0,4.39,0,2.63,1.75,1.75,13.16,0.88
228773,166362,"2009-09-06","04:52",14,13.85,98.33,89.63,25.77,14.29,0,0,14.29,0,0,0,0,0,0,0,7.14,7.14,0
254482,83344,"2006-01-06","00:17",107,80.6,77.26,24.3,1,2.8,0.93,0,0.93,0,0.93,0,3.74,1.87,0.93,0,3.74,9.35,0
255544,81721,"2005-12-17","21:46",166,98.84,45.21,34.91,17.07,1.2,0,0.6,0.6,0,0,3.01,3.61,0.6,0.6,0.6,1.2,1.81,0
218880,22130,"2005-07-18","05:07",11,12.85,81.84,99,1,18.18,9.09,0,9.09,0,0,0,9.09,0,0,9.09,9.09,27.27,0
244912,41084,"2005-11-08","02:46",35,99,38.74,13.15,98.56,0,0,0,0,0,0,5.71,0,0,0,0,2.86,0,0
273089,-1,"2006-02-25","04:22",92,90.46,58.59,68.63,11.64,8.7,2.17,1.09,0,5.43,0,2.17,3.26,0,0,2.17,5.43,6.52,1.09
265715,38794,"2006-02-02","00:57",275,81.4,69.47,29.78,20.28,6.55,2.91,0.73,0.73,1.09,1.09,1.45,1.82,0.36,1.82,0,4.36,7.64,1.82
198321,21367,"2005-04-17","22:23",110,54.02,89.83,14.1,94.75,10.91,5.45,0,1.82,0.91,2.73,5.45,0.91,0.91,0,0,0,18.18,1.82
45244,13359,"2002-12-21","18:01",45,92.84,81.29,10.08,67.75,8.89,4.44,0,0,0,4.44,2.22,0,0,0,0,0,6.67,0
233103,70832,"2005-10-01","09:19",77,95.05,69.84,65.41,97.38,2.6,0,0,1.3,0,1.3,5.19,0,0,0,0,2.6,7.79,0
566748,109818,"2009-03-25","05:25",77,89.94,74.2,9.09,99,2.6,0,1.3,0,0,1.3,6.49,0,0,0,0,2.6,6.49,0
146671,116703,"2007-01-24","07:25",38,33.88,1.81,98.54,74.74,7.89,7.89,0,0,0,0,2.63,0,0,0,0,2.63,15.79,0
745917,105443,"2010-11-01","06:46",242,27.37,38.61,93.65,6.99,12.81,8.26,1.24,2.48,0,0.83,0.83,2.48,0,2.07,0,5.37,11.98,0.83
618782,165386,"2009-07-11","02:46",119,55.71,50,10.42,1,3.36,0.84,0,0,0.84,1.68,0.84,7.56,0,5.04,1.68,1.68,10.08,0.84
55689,19796,"2003-02-10","02:07",12,1,20.24,98.01,25.77,16.67,16.67,0,0,0,0,0,0,0,0,0,16.67,16.67,0
322343,66443,"2006-09-16","12:46",223,88.64,67.3,9.14,50.91,4.04,0,0.45,1.35,0,2.24,3.59,2.24,0,1.79,0,0,5.83,1.79
254119,79878,"2005-12-17","00:43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265679,84389,"2006-02-05","07:31",205,50.03,75.28,65.65,53.27,10.24,1.95,0,3.9,0,4.39,2.93,1.46,0.49,0.49,0,1.95,10.73,0
348692,110567,"2006-12-21","01:09",19,98.6,99,50.35,25.77,5.26,0,5.26,0,0,0,0,0,0,0,0,0,21.05,0
206834,68595,"2005-07-04","07:20",155,42.28,65.08,47.63,25.77,9.68,3.87,2.58,0,0,3.23,3.23,3.23,0,1.29,0.65,0.65,12.9,3.23
