"Date","Hour","Sensor_Location","Count"
"01/12/2021",0,"Bourke.Street.Mall..North.",97
"01/12/2021",0,"Bourke.Street.Mall..South.",59
"01/12/2021",0,"Melbourne.Central",269
"01/12/2021",0,"Town.Hall..West.",137
"01/12/2021",0,"Princes.Bridge",176
"01/12/2021",0,"Flinders.Street.Station.Underpass",133
"01/12/2021",0,"Birrarung.Marr",8
"01/12/2021",0,"Webb.Bridge",14
"01/12/2021",0,"Southern.Cross.Station",9
"01/12/2021",0,"Victoria.Point",NA
"01/12/2021",0,"Waterfront.City",11
"01/12/2021",0,"New.Quay",52
"01/12/2021",0,"Flagstaff.Station",NA
"01/12/2021",0,"Sandridge.Bridge",114
"01/12/2021",0,"State.Library",NA
"01/12/2021",0,"Collins.St..North.",25
"01/12/2021",0,"Collins.Place..South.",38
"01/12/2021",0,"Collins.Place..North.",5
"01/12/2021",0,"Chinatown.Swanston.St..North.",132
"01/12/2021",0,"Chinatown.Lt.Bourke.St..South.",29
"01/12/2021",0,"Bourke.St.Russell.St..West.",133
"01/12/2021",0,"Flinders.St.Elizabeth.St..East.",NA
"01/12/2021",0,"Spencer.St.Collins.St..South.",13
"01/12/2021",0,"Spencer.St.Collins.St..North.",124
"01/12/2021",0,"Melbourne.Convention.Exhibition.Centre",94
"01/12/2021",0,"QV.Market.Elizabeth.St..West.",81
"01/12/2021",0,"QV.Market.Peel.St",12
"01/12/2021",0,"The.Arts.Centre",53
"01/12/2021",0,"St.Kilda.Rd.Alexandra.Gardens",15
"01/12/2021",0,"Lonsdale.St..South.",90
"01/12/2021",0,"Lygon.St..West.",31
"01/12/2021",0,"City.Square",NA
"01/12/2021",0,"Flinders.St.Spring.St..West.",NA
"01/12/2021",0,"Flinders.St.Spark.La",NA
"01/12/2021",0,"Southbank",80
"01/12/2021",0,"Queen.St..West.",13
"01/12/2021",0,"Lygon.St..East.",8
"01/12/2021",0,"Flinders.St.Swanston.St..West.",NA
"01/12/2021",0,"Alfred.Place",16
"01/12/2021",0,"Lonsdale.St.Spring.St..West.",18
"01/12/2021",0,"Grattan.St.Swanston.St..West.",13
"01/12/2021",0,"Monash.Rd.Swanston.St..West.",3
"01/12/2021",0,"Tin.Alley.Swanston.St..West.",6
"01/12/2021",0,"Little.Collins.St.Swanston.St..East.",NA
"01/12/2021",0,"Flinders.La.Swanston.St..West.",250
"01/12/2021",0,"Pelham.St..South.",11
"01/12/2021",0,"Melbourne.Central.Elizabeth.St..East.",113
"01/12/2021",0,"QVM.Queen.St..East.",20
"01/12/2021",0,"QVM.Therry.St..South.",57
"01/12/2021",0,"Faraday.St.Lygon.St..West.",14
"01/12/2021",0,"QVM.Franklin.St..North.",19
"01/12/2021",0,"Elizabeth.St.Lonsdale.St..South.",43
"01/12/2021",0,"Lincoln.Swanston..W.",60
"01/12/2021",0,"Elizabeth.St.La.Trobe.St..East.",NA
"01/12/2021",0,"Lonsdale.St...Elizabeth.St..North.",32
"01/12/2021",0,"Bourke.St.Bridge",17
"01/12/2021",0,"Bourke.St...Spencer.St..North.",75
"01/12/2021",0,"RMIT.Bld.80...445.Swanston.Street",30
"01/12/2021",0,"Flinders.La.Swanston.St..West..Temporary",NA
"01/12/2021",0,"RMIT.Building.14",48
"01/12/2021",0,"X380.Elizabeth.St",236
